#{"t_start": 1728372976.4312315, "env_id": "None"}
r,l,t
49.62353,35,64078.896146
13.587498,42,64088.628823
43.041172,39,64097.18544
34.192209,34,64105.839549
36.365798,39,64112.19022
34.979754,37,64120.026237
41.305716,38,64127.288227
36.833969,34,64134.951634
42.165733,37,64143.201973
36.07036,42,64153.269619
40.481627,38,64162.315552
38.94554,39,64170.573467
41.063269,36,64178.157822
41.30226,37,64185.071798
34.115404,35,64191.664803
39.331576,34,64198.369905
38.634513,37,64206.02416
40.427075,33,64211.769947
42.458045,35,64217.53358
42.701428,34,64224.105852
31.690071,35,64231.185163
38.266085,34,64238.456064
13.680312,41,64247.234773
32.721489,42,64254.799224
41.149676,38,64260.993175
47.764163,35,64267.154832
38.296345,37,64275.046126
40.56346,37,64282.360415
43.420994,37,64289.314869
38.977055,37,64296.071344
34.759011,32,64302.524857
36.472024,35,64309.165621
39.929244,33,64315.408597
39.697847,40,64323.813263
40.442853,35,64330.324195
34.3147,33,64336.398894
41.894069,33,64342.568043
29.701408,39,64350.837542
50.668837,37,64357.031914
50.057977,36,64363.993271
34.913617,35,64371.659784
44.49537,35,64378.458981
31.485513,43,64386.364364
39.137301,34,64391.792762
47.94964,34,64398.666506
39.424554,34,64404.482406
43.203948,36,64410.741644
40.735633,36,64417.614705
35.351248,41,64427.11993
42.309486,35,64433.410245
34.717962,35,64440.682369
37.75705,32,64447.698103
37.515875,38,64454.991154
45.87194,35,64461.007536
35.150757,40,64469.010293
37.333537,41,64476.622676
41.078468,43,64484.114247
36.587898,41,64492.696497
31.833612,33,64499.270535
47.307105,39,64506.024707
41.443643,33,64512.519121
46.496179,37,64520.127063
37.10937,36,64526.394157
44.203528,35,64532.604912
35.590741,42,64540.998425
37.87752,31,64547.194641
42.214542,43,64554.422636
39.596039,34,64560.565187
45.344371,40,64566.913038
36.044674,33,64573.958633
35.131609,39,64582.629003
38.121131,35,64588.871344
44.490055,33,64595.2752
48.551964,37,64601.132959
39.649778,41,64608.484171
40.863402,33,64614.163946
35.390441,40,64622.14122
35.306661,38,64629.155604
33.964065,35,64635.62049
42.914409,36,64642.500154
38.830031,38,64648.514566
40.939579,36,64655.375263
41.149384,34,64660.668456
40.800871,37,64667.462021
36.120422,38,64675.285676
37.820794,37,64683.727206
34.210452,40,64690.817291
46.802523,39,64696.650377
43.665702,32,64702.94384
39.685244,43,64712.274185
35.459576,43,64720.960019
48.943934,38,64726.843637
40.361492,38,64733.018471
42.445623,35,64740.140816
41.1073,36,64745.779691
43.905747,32,64751.88828
49.998337,35,64757.634024
39.987181,36,64764.437905
34.421423,35,64771.493158
34.080603,34,64778.543243
43.958589,41,64785.659689
43.794742,33,64791.871867
36.44031,34,64799.011152
38.914239,36,64805.857888
39.306602,36,64812.281956
35.733713,42,64822.077359
35.760247,34,64829.604456
36.163797,41,64837.425766
40.317147,38,64844.178896
46.423872,38,64849.582427
40.986291,36,64856.162929
40.459099,35,64862.782954
40.876446,40,64871.08153
37.351993,40,64878.260062
38.880759,39,64886.088936
38.016177,40,64893.057647
36.174497,38,64900.651527
35.606058,43,64908.496634
40.529599,38,64915.146464
35.383443,36,64921.57417
42.603371,35,64927.773316
48.391523,39,64934.48451
40.860488,36,64941.358651
39.907679,34,64947.130702
39.811911,31,64953.026597
42.044483,38,64959.758019
37.133174,32,64966.585775
42.151648,31,64972.554618
37.200061,42,64980.299632
39.213306,35,64988.070703
36.076685,33,64994.392053
40.230173,35,65001.328721
36.766951,37,65007.520771
39.493044,37,65013.984315
37.941617,35,65020.642843
